ponto_id,prediction
0,"[-8.055604999999995, -34.95172799999998]"
3,"[-8.055604999999995, -34.95172799999998]"
8,"[-8.055604999999995, -34.95172799999998]"
10,"[-8.055604999999995, -34.95172799999998]"
12,"[-8.055604999999995, -34.95172799999998]"
14,"[-8.055604999999995, -34.95172799999998]"
17,"[-8.055604999999995, -34.95172799999998]"
19,"[-8.055604999999995, -34.95172799999998]"
23,"[-8.055604999999995, -34.95172799999998]"
29,"[-8.055604999999995, -34.95172799999998]"
30,"[-8.055604999999995, -34.95172799999998]"
31,"[-8.055604999999995, -34.95172799999998]"
33,"[-8.055604999999995, -34.95172799999998]"
36,"[-8.055604999999995, -34.95172799999998]"
37,"[-8.055604999999995, -34.95172799999998]"
39,"[-8.055604999999995, -34.95172799999998]"
41,"[-8.055604999999995, -34.95172799999998]"
46,"[-8.055604999999995, -34.95172799999998]"
47,"[-8.055604999999995, -34.95172799999998]"
48,"[-8.055604999999995, -34.95172799999998]"
50,"[-8.055604999999995, -34.95172799999998]"
56,"[-8.055604999999995, -34.95172799999998]"
58,"[-8.055604999999995, -34.95172799999998]"
59,"[-8.055604999999995, -34.95172799999998]"
61,"[-8.055604999999995, -34.95172799999998]"
65,"[-8.055604999999995, -34.95172799999998]"
68,"[-8.055604999999995, -34.95172799999998]"
69,"[-8.055604999999995, -34.95172799999998]"
70,"[-8.055604999999995, -34.95172799999998]"
73,"[-8.055604999999995, -34.95172799999998]"
76,"[-8.055604999999995, -34.95172799999998]"
79,"[-8.055604999999995, -34.95172799999998]"
80,"[-8.055604999999995, -34.95172799999998]"
81,"[-8.055604999999995, -34.95172799999998]"
87,"[-8.055604999999995, -34.95172799999998]"
88,"[-8.055604999999995, -34.95172799999998]"
91,"[-8.055604999999995, -34.95172799999998]"
92,"[-8.055604999999995, -34.95172799999998]"
93,"[-8.055604999999995, -34.95172799999998]"
95,"[-8.055604999999995, -34.95172799999998]"
96,"[-8.055604999999995, -34.95172799999998]"
99,"[-8.055604999999995, -34.95172799999998]"
100,"[-8.055604999999995, -34.95172799999998]"
101,"[-8.055604999999995, -34.95172799999998]"
102,"[-8.055604999999995, -34.95172799999998]"
103,"[-8.055604999999995, -34.95172799999998]"
104,"[-8.055604999999995, -34.95172799999998]"
106,"[-8.055604999999995, -34.95172799999998]"
107,"[-8.055604999999995, -34.95172799999998]"
108,"[-8.055604999999995, -34.95172799999998]"
111,"[-8.055604999999995, -34.95172799999998]"
118,"[-8.055604999999995, -34.95172799999998]"
