ponto_id,prediction
0,"[-8.055604946336455, -34.95172798299638]"
3,"[-8.055604946336455, -34.95172798299638]"
8,"[-8.055604946336455, -34.95172798299638]"
10,"[-8.055604946336455, -34.95172798299638]"
12,"[-8.055604946336455, -34.95172798299638]"
14,"[-8.055604946336455, -34.95172798299638]"
17,"[-8.055604946336455, -34.95172798299638]"
19,"[-8.055604946336455, -34.95172798299638]"
23,"[-8.055604946336455, -34.95172798299638]"
29,"[-8.055604946336455, -34.95172798299638]"
30,"[-8.055604946336455, -34.95172798299638]"
31,"[-8.055604946336455, -34.95172798299638]"
33,"[-8.055604946336455, -34.95172798299638]"
36,"[-8.055604946336455, -34.95172798299638]"
37,"[-8.055604946336455, -34.95172798299638]"
39,"[-8.055604946336455, -34.95172798299638]"
41,"[-8.055604946336455, -34.95172798299638]"
46,"[-8.055604946336455, -34.95172798299638]"
47,"[-8.055604946336455, -34.95172798299638]"
48,"[-8.055604946336455, -34.95172798299638]"
50,"[-8.055604946336455, -34.95172798299638]"
56,"[-8.055604946336455, -34.95172798299638]"
58,"[-8.055604946336455, -34.95172798299638]"
59,"[-8.055604946336455, -34.95172798299638]"
61,"[-8.055604946336455, -34.95172798299638]"
65,"[-8.055604946336455, -34.95172798299638]"
68,"[-8.055604946336455, -34.95172798299638]"
69,"[-8.055604946336455, -34.95172798299638]"
70,"[-8.055604946336455, -34.95172798299638]"
73,"[-8.055604946336455, -34.95172798299638]"
76,"[-8.055604946336455, -34.95172798299638]"
79,"[-8.055604946336455, -34.95172798299638]"
80,"[-8.055604946336455, -34.95172798299638]"
81,"[-8.055604946336455, -34.95172798299638]"
87,"[-8.055604946336455, -34.95172798299638]"
88,"[-8.055604946336455, -34.95172798299638]"
91,"[-8.055604946336455, -34.95172798299638]"
92,"[-8.055604946336455, -34.95172798299638]"
93,"[-8.055604946336455, -34.95172798299638]"
95,"[-8.055604946336455, -34.95172798299638]"
96,"[-8.055604946336455, -34.95172798299638]"
99,"[-8.055604946336455, -34.95172798299638]"
100,"[-8.055604946336455, -34.95172798299638]"
101,"[-8.055604946336455, -34.95172798299638]"
102,"[-8.055604946336455, -34.95172798299638]"
103,"[-8.055604946336455, -34.95172798299638]"
104,"[-8.055604946336455, -34.95172798299638]"
106,"[-8.055604946336455, -34.95172798299638]"
107,"[-8.055604946336455, -34.95172798299638]"
108,"[-8.055604946336455, -34.95172798299638]"
111,"[-8.055604946336455, -34.95172798299638]"
118,"[-8.055604946336455, -34.95172798299638]"
119,"[-8.055604946336455, -34.95172798299638]"
122,"[-8.055604946336455, -34.95172798299638]"
131,"[-8.055604946336455, -34.95172798299638]"
132,"[-8.055604946336455, -34.95172798299638]"
135,"[-8.055604946336455, -34.95172798299638]"
144,"[-8.055604946336455, -34.95172798299638]"
149,"[-8.055604946336455, -34.95172798299638]"
151,"[-8.055604946336455, -34.95172798299638]"
157,"[-8.055604946336455, -34.95172798299638]"
164,"[-8.055604946336455, -34.95172798299638]"
167,"[-8.055604946336455, -34.95172798299638]"
168,"[-8.055604946336455, -34.95172798299638]"
169,"[-8.055604946336455, -34.95172798299638]"
172,"[-8.055604946336455, -34.95172798299638]"
176,"[-8.055604946336455, -34.95172798299638]"
177,"[-8.055604946336455, -34.95172798299638]"
179,"[-8.055604946336455, -34.95172798299638]"
180,"[-8.055604946336455, -34.95172798299638]"
181,"[-8.055604946336455, -34.95172798299638]"
185,"[-8.055604946336455, -34.95172798299638]"
196,"[-8.055604946336455, -34.95172798299638]"
199,"[-8.055604946336455, -34.95172798299638]"
209,"[-8.055604946336455, -34.95172798299638]"
211,"[-8.055604946336455, -34.95172798299638]"
212,"[-8.055604946336455, -34.95172798299638]"
214,"[-8.055604946336455, -34.95172798299638]"
