grupo,cch,azimuth,ponto_id,delay_1,delay_2,delay_3,lat,lon,rssi_value
1,872,120,4910,4.999612405140974,2.9994407112831754,1.9996829638061728,-8.055728716244332,-34.95181055499893,0.014320808340715295
1,875,240,3396,4.999964344174694,3.000168165676244,2.9988935843572446,-8.055753650592347,-34.95198544213308,0.008044830406752738
2,874,120,4385,5.000587442524386,3.000171786547629,1.9997994126234329,-8.054984623427053,-34.95191016831523,0.24109947942091728
1,872,120,7906,3.0040243313203234,2.9986295682867956,4.994818014634647,-8.050164590828102,-34.94738177500242,0.5308695889837611
3,869,240,2845,4.999331238957344,2.999481127317593,2.9998587000505275,-8.055937793661478,-34.95128260348928,0.014217504202006122
3,877,0,1864,4.999709319626364,3.000766558560654,1.9983924478006794,-8.05554593761451,-34.951805288063134,0.3601076694207228
1,873,0,4969,5.000538419239371,3.002264404927633,1.9995148342043905,-8.05503135211485,-34.952275487174006,0.23759369968076366
3,875,240,8530,3.0011822886461452,4.00014174637445,2.0020932941760403,-8.050612756685966,-34.95229440955999,0.4407117050812991
1,875,240,1488,5.000737147653079,3.000966853423401,2.0002739358118653,-8.055799798919013,-34.95187605704013,0.20701117616996065
1,872,120,8808,3.0005859517493905,1.9979308345020068,3.0021297750736298,-8.049849080864481,-34.9510707043507,0.37033601647535
2,865,0,6554,4.99939463835458,3.000733422537955,2.0001339605620454,-8.055258442628787,-34.95115675685754,0.1316785508328551
3,869,240,5662,7.0128664362227795,3.0001133923989,3.9935650157829907,-8.057265973935133,-34.95015707006308,0.6100567087149129
2,871,120,3813,5.000329232584819,2.9993675307402943,2.997694039603594,-8.055031714301581,-34.95117717679286,0.5502832396537273
1,872,120,8170,4.001569292066383,7.049656687163683,1.0153500100671446,-8.049540818902821,-34.95912436473527,0.3539898205302252
2,865,0,9314,2.995955986117407,3.000905924513782,3.994779827861653,-8.048763557873244,-34.94999842052849,0.42666242473328103
2,874,120,2274,5.000248026565914,2.9995933169271094,2.9982517969265303,-8.05549515157855,-34.951726823653885,0.3659208653253458
1,875,240,7339,5.000296235094075,2.9989338305047344,1.999285245965173,-8.055758767988655,-34.952222131842966,0.552928591916481
2,874,120,4751,5.0008317456405065,2.999552499481962,2.0005568790409622,-8.055322896353594,-34.95328371923617,0.4472256978540239
1,875,240,4238,4.999873925107976,3.0007602008126333,2.0006575555117774,-8.055064870391565,-34.95158004807705,0.011239542304543326
1,873,0,3601,5.000199626319235,3.0006447755545165,2.00091254768041,-8.055062235187384,-34.95184362652031,0.24161535970980047
3,877,0,4955,5.00033193425729,3.0014839704808693,1.99997328396083,-8.055075836266615,-34.951730874895624,0.25857498606554297
3,869,240,5130,4.999827690045569,2.999032105452615,1.9998878562103815,-8.056053790366972,-34.95225367616801,0.014496127810928362
3,877,0,6754,4.000860996585385,1.0171947428202501,3.9975063964990913,-8.05338459677708,-34.95012514650696,0.5859630705881657
1,875,240,7745,4.002908866340584,0.9953586646644844,4.002683636269395,-8.051281459452964,-34.946768664705054,0.5337559355194594
3,881,120,9395,2.0052557373748465,2.999628743588941,4.010427031150725,-8.047977561774225,-34.95086839522341,0.4828050356805283
3,881,120,9154,3.004397584272854,3.9959996299105653,1.9993601908881475,-8.050155185494887,-34.953958330135634,0.46163292376422205
2,865,0,5612,4.999588202479557,3.0012704076118877,1.9990323795056149,-8.055188102705193,-34.94998124631338,0.2824477713222554
3,869,240,7867,4.0015193698305405,7.02158243680866,1.9992756268237286,-8.052543650232018,-34.95965941664157,0.7239325729528694
3,877,0,2288,5.00050504168434,3.000283938463129,2.997013628189302,-8.055463294953631,-34.950916606883375,0.3704582254743725
1,873,0,1776,4.9996365284236,3.0003732784918395,1.9993411694865362,-8.055256381071588,-34.95192258249562,0.22197705257373262
2,875,240,1632,4.999425618942677,2.9997628420997553,1.999492957409592,-8.0556301405034,-34.95163284959638,0.2555754676354739
3,869,240,1761,4.999954900966715,3.0001623202470373,3.000671985511295,-8.055527981650444,-34.951413886775455,0.018557518564781435
1,875,240,7647,6.003842487761687,1.014038995124369,0.9970186536328428,-8.056054321770889,-34.959100569156114,0.5324905400225877
1,873,0,1819,4.999919172032195,3.001334765994248,3.000653533158623,-8.055431063134094,-34.951788014426185,0.34160660995023534
2,869,240,7126,4.999611689539472,3.0001935907573007,3.0010594087998865,-8.055225270461612,-34.95144344974135,0.012641638182384472
2,865,0,6903,5.000265499558186,4.003333412486054,0.9971270142880537,-8.055519762971882,-34.95304980807657,0.12646750426817155
1,872,120,9031,3.0059881942629416,2.0026354574154315,5.011559846253868,-8.049791505989374,-34.94694596826656,0.40019106319561726
1,872,120,8933,4.002295809732541,1.998253003560402,6.047957226595906,-8.05175499801246,-34.946917775373194,0.607437006092411
3,877,0,6726,5.000071767051375,6.017158679878205,2.9996051405107167,-8.055603333586962,-34.95187744585596,0.4579771733565886
2,871,240,4515,5.00066526283346,3.0004865187187493,1.9998874262711346,-8.055856580578464,-34.95149420874675,0.5249385054298058
1,873,240,4244,4.999309937301148,3.000029014318941,1.9990610502313575,-8.055596462988659,-34.951477688811714,0.16365941809226567
1,872,120,5441,5.000333708219956,3.0011948680847653,1.9999043448782867,-8.055829430505003,-34.951560528591074,0.013926015809301568
2,865,0,3657,4.999848151887787,3.0007344080442357,1.9994202092108089,-8.055468609652804,-34.951717830048366,0.2662199979110751
1,873,0,4595,5.000166672146145,3.0009194925629483,1.9994005657833966,-8.055513881532702,-34.95161091665405,0.01584729394109151
1,873,0,8367,4.001987666071915,7.060104467460078,1.9989666627119234,-8.051562458048785,-34.961166151961734,0.3645214336863563
2,874,120,7551,3.0025059713396347,6.026087124150861,3.000973030920613,-8.05146935364188,-34.95869584242036,0.6184473013223912
1,872,120,2614,5.000545023282211,2.999765765326408,3.0001486171050074,-8.055270088383127,-34.95209111160085,0.01457991180790445
1,872,120,769,5.000128929243098,3.001164908205147,2.0002674911016705,-8.05578717098508,-34.95133549536672,0.013367234906703012
3,881,120,1939,5.000125096967949,3.0001543011415412,2.999073618835924,-8.056010946673487,-34.951692554247536,0.9032841252424114
1,872,120,1152,5.000398312232925,3.0009208391987454,2.0004405048476186,-8.055308450112204,-34.95261192847631,0.014034615635310034
3,877,0,2713,4.999803205044355,3.0002899109344656,2.998285756791779,-8.055498848973398,-34.952291449453135,0.3804156885056017
1,872,120,9528,2.0111053462725343,2.999272720910974,4.999813889134593,-8.05040347510203,-34.95087637594541,0.4693619193837056
3,881,120,1356,5.0008418691277035,2.99956167227948,2.9999768596730894,-8.055404204354597,-34.951229616699685,0.6957541946461546
3,877,0,8658,1.9967173146923731,3.001841413529734,3.00074797684109,-8.049177950799924,-34.9502003728061,0.6449151252913808
2,865,0,4015,4.999822675775938,3.0012287478546016,1.9984550419481317,-8.055474601992286,-34.95170245392384,0.014287243022446694
3,869,240,3425,4.999551121512157,3.000979033010426,3.000197048237109,-8.055899013658232,-34.951309236559034,0.3822072273543427
3,881,120,2000,5.000246532881922,2.99967169076397,2.0003601801383684,-8.055143688674177,-34.95178667751349,0.3917575318079939
1,873,240,6064,5.000313068882673,3.000563214974256,1.9992068621338963,-8.056183774305739,-34.951596765300515,0.2161235032075201
2,874,120,4128,5.0005310801761835,3.0009394675168695,2.000558954428735,-8.05479830789923,-34.952504981306326,0.43557677396161826
2,865,0,3706,5.000051533674432,3.0004833418570027,2.000514802710323,-8.05498179290077,-34.95191218355965,0.2665178829085492
3,877,0,2854,5.000039513068207,3.000562309275802,2.997989176547757,-8.055491459931625,-34.95150615290736,0.3398273280095943
2,865,0,4295,4.999797191266291,3.0010407594952437,2.999665821325656,-8.055043202314655,-34.951451407988,0.37060895390741116
1,872,120,789,5.000228156862219,3.000835663514392,2.0006475242605744,-8.055375028503638,-34.95198804230029,0.01194583583070788
1,873,0,5455,4.999650254583645,3.0000807552290163,1.9988628426486905,-8.055859953892895,-34.952098266090175,0.19985409610796206
2,865,0,6419,4.999237493082497,5.003731382586293,3.0002883958919355,-8.055279650827927,-34.95593970304694,0.8218368752877849
3,881,120,200,4.99944086941398,3.000235631317577,1.998899905372637,-8.055511723834835,-34.951965556553624,0.43673064086724755
1,873,0,6658,5.000560206196371,3.0015830997785393,1.9986304564542419,-8.055882587906487,-34.9519512629413,0.2705543720797727
1,875,240,7316,5.000976651384429,2.998680534333754,2.0003626002043453,-8.05581043276527,-34.952262284821835,0.44519898160111143
3,877,0,835,4.9998646772914865,3.0008176730120804,1.999843286199303,-8.05543347727584,-34.95184398875655,0.34282083932735485
3,869,240,1209,5.000149839192217,3.0004801241750445,2.0003577252714506,-8.055464314266418,-34.95190977511666,0.014705793118256202
2,865,0,5636,5.000055627116023,3.000709577353616,2.0005431613127653,-8.055777679505216,-34.951518596572946,0.01780255748770069
3,869,240,3051,4.99985660729613,3.0011612323019357,2.9997774011911558,-8.055228050981873,-34.95207581992852,0.3513953059318839
3,869,240,3618,5.000244859863187,3.000123191423746,2.000288182897949,-8.055609685143208,-34.95160521657193,0.010220619276860729
1,875,240,3477,5.000200619014039,3.000367294270319,1.999900965893721,-8.055832807239884,-34.952381107786856,0.4779415045306714
3,881,120,8104,2.003671741783957,2.9994461138885415,2.997525451872694,-8.049722293009388,-34.95278049422272,0.7718668560908789
3,869,240,9029,2.003243012361605,1.9985571126098567,5.011323278546045,-8.046975654516025,-34.94997471194743,0.851067374941931
3,877,0,6757,4.999592665271002,1.0056352825220642,4.0013530544999165,-8.055358023511422,-34.95114194709511,0.7360261473903281
1,872,120,8314,3.0085034134853377,2.9996352512146944,1.9997416490938271,-8.050675544652911,-34.951906572572504,0.0070672318275882525
1,872,120,783,4.999779757418324,2.999257319904929,2.0005831088050217,-8.054704261143469,-34.95353978781234,0.011319692509997545
3,869,240,8578,2.9962630432817705,4.001651028685548,1.9986789423660627,-8.051959152225123,-34.9551987643122,0.014234680316439458
2,871,240,2896,4.9998643737101975,3.0000284372685595,2.999825968880877,-8.055746770912707,-34.95172360960586,0.7666922871328463
1,875,240,871,5.000469655164543,2.9995766067636835,1.9990014803083402,-8.055385508918803,-34.95185537865395,0.14794561124396133
2,874,120,3541,4.999209130733972,3.00088052808952,1.999110608991314,-8.055555931432,-34.951469897172856,0.3767400022735383
3,881,120,8562,4.0013561708095695,4.003434527691302,1.0003291779069352,-8.050917367537416,-34.96084806560341,1.001687268534539
3,869,240,9384,2.997258566526918,1.9989394254484032,4.006386914286342,-8.049405960717696,-34.949974595363734,0.5555719953199537
1,875,240,3737,4.999803261665621,2.9996402288370962,2.998318034809059,-8.055647303510819,-34.951695217853064,0.4036488884499159
1,872,120,8387,3.0044026886617474,2.0015849423450063,4.010255847558001,-8.05008626709082,-34.95145425250287,0.5339258877862052
3,869,240,6911,5.000654706067525,2.998796525109914,1.9994151216615814,-8.054881021083379,-34.95219766350533,0.43660777592755334
3,869,240,2726,4.9997780521029815,2.9996958644504024,2.9995886462986348,-8.056152959394804,-34.951454659188734,0.014541828461008032
3,871,240,3241,5.000320800138409,2.999942449366194,2.9981552539369036,-8.055370635092121,-34.95153688524386,0.4416624436350848
2,871,240,5609,5.000194217131604,2.998927348715013,1.9991070144251433,-8.055484222008296,-34.95127828494434,0.2811555528630285
3,881,120,4362,4.999609623646825,3.0011506569923623,1.9996327312101683,-8.05473389243012,-34.95155469733924,0.3839037798722626
2,865,0,5056,5.000647140417069,3.000723077201407,1.9988301370327681,-8.055516572484448,-34.951717544863016,0.13341555278690911
2,865,0,1758,5.000313288417836,3.0004907980855524,3.0000844429412075,-8.055416405964305,-34.951238575730954,0.38634024672416456
3,877,0,7498,4.999569271353409,5.002796114837604,1.0003769145713075,-8.054824766258744,-34.95792755510707,0.4117477989444479
1,872,120,310,5.000077956161175,3.000838331776419,2.999089417201216,-8.055661892985285,-34.95151493782513,0.011404386767640877
1,872,120,508,4.999678191455039,3.0010950383036334,2.000087840830264,-8.055161670245415,-34.95168339627863,0.1844159744201193
2,865,120,3072,5.000279146373508,3.000228765041704,1.9992867713012432,-8.05538181526646,-34.95179432192994,0.2638769702406469
1,881,120,4886,5.000368056683207,2.999727649237844,1.9991574103256333,-8.055269179498788,-34.952064231792896,0.21885887547726074
2,865,0,6982,5.000345598822119,3.000355721093415,0.9958894812011532,-8.055249308287765,-34.95199722606417,0.38199254632240365
